,MLS ID,Status,Price,HOA Fee,Square Feet,Price per Square Foot,Lot Size,Bedrooms,Bathrooms,Location,Stories,Address,City,State,ZIP Code,Year Built,URL
123,2241596,Active,1190000.0,,2510.0,474.0,4033.0,5.0,3.0,Ravenna,2.0,1016 NE Ravenna Blvd,Seattle,WA,98105,1917.0,/WA/Seattle/1016-NE-Ravenna-Blvd-98105/home/308192
124,2244546,Active,2568888.0,114.0,3857.0,666.0,5650.0,4.0,5.0,Hawthorne Hills,3.0,"4015 NE 56th St Unit A,B",Seattle,WA,98105,2023.0,/WA/Seattle/4015-NE-56th-St-98105/unit-A-B/home/186070255
125,2244630,Active,1350000.0,,2760.0,489.0,4000.0,4.0,2.5,Wallingford,1.5,4546 4th Ave NE,Seattle,WA,98105,1923.0,/WA/Seattle/4546-4th-Ave-NE-98105/home/118474
126,2227535,Active,1295000.0,,2830.0,458.0,4000.0,4.0,2.0,Green Lake,1.5,333 NE 58th St,Seattle,WA,98105,1918.0,/WA/Seattle/333-NE-58th-St-98105/home/304423
127,2243698,Active,875000.0,,1330.0,658.0,1120.0,3.0,2.5,Bryant,1.5,5015 40th Ave NE Unit A,Seattle,WA,98105,2006.0,/WA/Seattle/5015-40th-Ave-NE-98105/unit-A/home/8189028
128,2233358,Active,2250000.0,,3040.0,740.0,4080.0,4.0,3.5,Green Lake,1.5,142 NE 56th St,Seattle,WA,98105,2017.0,/WA/Seattle/142-NE-56th-St-98105/home/305642
129,2242725,Active,1185000.0,1.0,2352.0,504.0,4209.0,4.0,3.5,Wallingford,2.0,4539 5th Ave NE Unit B,Seattle,WA,98105,1908.0,/WA/Seattle/4539-5th-Ave-NE-98105/unit-B/home/185154954
130,2241172,Active,1569000.0,,4020.0,390.0,6600.0,10.0,3.0,University District,3.0,5046 19th Ave NE,Seattle,WA,98105,1922.0,/WA/Seattle/5046-19th-Ave-NE-98105/home/308835
131,2240558,Active,1450000.0,,2890.0,502.0,2839.0,7.0,3.0,University District,3.0,5262 15th Ave NE,Seattle,WA,98105,1926.0,/WA/Seattle/5262-15th-Ave-NE-98105/home/2061688
132,2240497,Active,5100000.0,,16848.0,303.0,8220.0,13.0,23.0,University District,3.0,5003 15th Ave NE,Seattle,WA,98105,1926.0,/WA/Seattle/5003-15th-Ave-NE-98105/home/2066364
133,2237353,Active,799999.0,,1680.0,476.0,892.0,3.0,2.5,University District,1.5,4216 7th Ave NE Unit B,Seattle,WA,98105,2008.0,/WA/Seattle/4216-7th-Ave-NE-98105/unit-B/home/17382983
134,2239602,Active,1368000.0,,2830.0,483.0,3550.0,8.0,3.0,University District,2.0,5916 8th Ave NE,Seattle,WA,98105,1923.0,/WA/Seattle/5916-8th-Ave-NE-98105/home/311681
135,2236382,Active,990000.0,,2130.0,465.0,4280.0,5.0,1.75,University District,2.0,4716 7TH Ave NE,Seattle,WA,98105,1921.0,/WA/Seattle/4716-7th-Ave-NE-98105/home/311501
136,2237575,Active,850000.0,,1960.0,434.0,2112.0,5.0,2.0,Bryant,1.0,5022 35th Ave NE,Seattle,WA,98105,1921.0,/WA/Seattle/5022-35th-Ave-NE-98105/home/314082
137,2236772,Active,8900000.0,,20587.0,432.0,13025.0,11.0,7.0,University District,4.0,4253 7th Ave NE,Seattle,WA,98105,1985.0,/WA/Seattle/4253-7th-Ave-NE-98105/home/2071416
138,2235873,Active,897000.0,,2740.0,327.0,2740.0,5.0,3.0,Wallingford,1.5,4525 5th Ave NE #1,Seattle,WA,98105,1921.0,/WA/Seattle/4525-5th-Ave-NE-98105/unit-1/home/191039577
139,2235620,Active,800000.0,21.0,1259.0,635.0,875.0,3.0,2.0,Bryant,1.5,4745 University View Pl NE,Seattle,WA,98105,2024.0,/WA/Seattle/4745-University-View-Pl-NE-98105/home/190726948
140,2235529,Active,1600000.0,,2870.0,557.0,3650.0,5.0,3.5,University District,2.0,5002 20th Ave NE,Seattle,WA,98105,1914.0,/WA/Seattle/5002-20th-Ave-NE-98105/home/308598
141,2228463,Active,1060000.0,,2300.0,461.0,4423.0,4.0,3.0,Wallingford,2.0,4758 2nd Ave NE,Seattle,WA,98105,1910.0,/WA/Seattle/4758-2nd-Ave-NE-98105/home/118371
142,2234672,Active,2699950.0,,3260.0,828.0,4000.0,5.0,4.0,Laurelhurst,2.0,4326 NE 44th St,Seattle,WA,98105,1936.0,/WA/Seattle/4326-NE-44th-St-98105/home/122164
143,2230257,Active,1033000.0,,2540.0,407.0,3959.0,6.0,3.0,University District,2.0,5026 7th Ave NE,Seattle,WA,98105,1922.0,/WA/Seattle/5026-7th-Ave-NE-98105/home/311947
